,FIELDID,Year,Common_Name,Quanity,COMID
391,main3,1995,central_stoneroller,5,10848472
392,main4,1995,blacknose_dace,1,10848486
393,main4.5,1995,spotfin_shiner,1,10848486
394,main5,1995,sunfish_hybrid,1,10848602
395,main6,1995,creek_chub,178,10849438
396,main7,1995,common_shiner,49,10849438
397,main7.5,1995,white_sucker,34,10849438
398,main8,1995,blacknose_dace,13,10849768
399,main9,1995,central_stoneroller,9,10849770
400,mid1,1995,rock_bass,7,10850296
401,mid2,1995,largemouth_bass,6,10849642
402,mid3,1995,yellow_perch,1,10849648
403,mid4,1995,sunfish_hybrid,3,10850234
404,mid5,1995,bluegill,3,10850156
405,min1,1995,johnny_darter,4,10848506
406,min2,1995,black_crappie,1,10849378
407,min3,1995,bluntnose_minnow,3,10848520
408,min3a,1995,green_sunfish,2,10849378
409,min4,1986,blacknose_dace,1,10848484
410,min5,1986,common_carp,2,10848506
411,mn-1,1986,common_shiner,5,10849618
412,mn-2,1986,white_sucker,8,10849618
413,mn-3,1986,creek_chub,7,10850238
414,mn-4,1986,green_sunfish,4,10850152
415,mn-5,1986,rock_bass,2,10849484
416,mn-6,1995,creek_chub,98,10849618
417,mn-7,1995,central_stoneroller,3,10850152
418,mn-7a,1995,white_sucker,14,10850152
419,mr-1,1995,johnny_darter,48,10850296
420,mr-10,1995,blacknose_dace,84,10850156
421,mr-11,1995,bluntnose_minnow,26,10850156
422,mr-12,1995,common_carp,1,10850156
423,mr-13,1995,common_shiner,4,10850156
424,mr-14,1995,white_sucker,16,10850142
425,mr-15,1995,creek_chub,150,10850156
426,mr-16,1995,fathead_minnow,14,10849658
427,mr-17,1995,golden_shiner,1,10849642
428,mr-18,1995,green_sunfish,4,10849622
429,mr-19,1995,largemouth_bass,6,10850142
430,mr-2,1995,pumpkinseed,8,10849566
431,mr-20,1995,common_shiner,10,10849566
432,mr-21,1995,blackside_darter,1,10849668
433,mr-22,1995,bluntnose_minnow,8,10849504
434,mr-23,1995,fathead_minnow,4,10849490
435,mr-24,1995,creek_chub,3,10850142
436,mr-25,1995,green_sunfish,10,10849514
437,mr-26,1995,fathead_minnow,171,10849504
438,mr-27,1995,central_mudminnow,7,10849524
439,mr-28,1995,gizzard_shad,1,10850142
440,mr-2a,1995,pumpkinseed,1,10849566
441,mr-3,1995,bluegill,1,10849642
442,mr-4,1995,largemouth_bass,2,10849648
443,mr-5,1995,goldfish,3,10850156
444,mr-6,1995,brook_stickleback,1,10850156
445,mr-7,1995,starhead_topminnow,1,10850156
446,mr-8,1995,green_sunfish,2,10850156
447,mr-9,1995,brook_stickleback,1,10850156
448,mur2,1986,creek_chub,13,10848594
449,nfowl,1986,goldfish,6,10849780
450,nott,1995,bluegill,1,10848512
451,nott2,1995,brook_stickleback,1,10848512
452,nton,1995,common_carp,1,10850142
453,peb1,1995,creek_chub,3,10848526
454,peb2,1995,common_carp,1,10848526
455,peb3,1995,common_shiner,1,10848526
456,peb4,1995,white_sucker,5,10849412
457,peb5,1995,creek_chub,2,10848490
458,rav,1995,fathead_minnow,1,10849442
459,see1,1995,rock_bass,1,10848516
460,see2,1995,mottled_sculpin,159,10849376
461,see3,1995,creek_chub,52,10848516
462,see4,1995,green_sunfish,67,10848492
463,seebosch,1995,central_mudminnow,53,10849374
464,seesto,1995,pumpkinseed,10,10848492
465,simpl,1995,common_shiner,6,10848614
466,sprag,1995,northern_redbelly_dace,2,10848422
467,tar2,1995,white_sucker,28,10849472
468,ton1,1995,bluegill,8,10850142
469,ton1/2,1995,blacknose_dace,15,10850142
470,ton2,1995,largemouth_bass,4,10850142
471,ton3,1995,brown_trout,2,10849700
472,ull,1995,fathead_minnow,2,10848442
473,up1,1986,common_carp,1,10849602
474,up2,1986,creek_chub,1,10849602
475,up3,1986,fathead_minnow,2,10849602
476,up4,1986,green_sunfish,1,10849602
477,up5,1986,pumpkinseed,1,10849602
478,up6,1995,common_carp,1,10849602
479,ur-1,1995,bluegill,1853,10849602
480,ur-2,1995,pumpkinseed,89,10849608
481,ur-3,1995,largemouth_bass,21,10849508
482,ur-4,1995,white_sucker,273,10849602
483,ur-5,1995,black_crappie,107,10849548
484,wall0,1995,northern_pike,11,10849488
485,wall1,1995,green_sunfish,1,10849464
486,wall2,1995,common_carp,28,10849416
487,wall3,1995,black_bullhead,56,10849382
488,wall4,1995,pumpkinseed,5,10850132
489,wall5,1995,common_shiner,7,10849382
490,wall6,1995,largemouth_bass,1,10848500
491,wall7,1995,common_carp,9,10848510
492,walnutl,1986,common_carp,2,10848618
493,will1,1986,fathead_minnow,3,10849712
494,will2,1986,creek_chub,88,10850148
495,will3,1986,white_sucker,31,10849712
496,wingl,1986,pumpkinseed,1,10848476
497,john10,1986,green_sunfish,8,10849588
