"","FIELDID","COMID","DateSampled","TotalFish","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores","finalwidth_ft","Richness_upper","Richness_lower","Darter_upper","Darter_lower","Sunfish_upper","Sunfish_lower","Sucker_upper","Sucker_lower","Intolerant_upper","Intolerant_lower","Tolerant_upper","Tolerant_lower","Omnivore_upper","Omnivore_lower","Insectivore_upper","Insectivore_lower","Piscivore_upper","Piscivore_lower","Lithophilic_upper","Lithophilic_lower","Richness_score","Darter_score","Sunfish_score","Sucker_score","Intolerant_score","Tolerant_score","Omnivore_score","Insectivores_score","Piscivores_score","Lithophilic_score","Total_score"
"83","tonquishcreek19","10849684",1972,1,1,0,1,0,0,100,0,0,0,100,16.7979008,14,10,3,2,2.855643136,1.427821568,2,2,3.191601152,1.6125984768,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-6
"84","tonquishcreek20","10850148",1972,3,2,0,0,0,0,100,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"85","u-4","10849608",1986,62,9,0,1,1,0,93.5483870967742,90.3225806451613,0,50,8.06451612903226,22,14,10,3,2,3,2,2,2,4.18,2.112,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-4
"86","u-4","10849608",1995,230,10,0,3,1,0,92.1739130434783,90.4347826086957,2.60869565217391,8.69565217391304,6.95652173913043,22,14,10,3,2,3,2,2,2,4.18,2.112,39,75,31,72,62,15,3,1,47,1,0,-1,0,-1,-1,1,1,-1,0,0,-2
"87","u-7","10849532",1972,21,3,0,0,1,0,95.2380952380952,95.2380952380952,0,28.5714285714286,4.76190476190476,12.2913388,14,10,2.704094536,1.352047268,2.089527596,1.044763798,1.720787432,0.8112283608,2.335354372,1.1799685248,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,-1,1,1,-1,-1,0,-4
"88","u-7","10849532",1995,466,8,0,3,1,0,92.7038626609442,92.274678111588,0.214592274678112,35.6223175965665,7.51072961373391,12.2913388,14,10,2.704094536,1.352047268,2.089527596,1.044763798,1.720787432,0.8112283608,2.335354372,1.1799685248,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,-1,1,1,-1,-1,0,-2
"89","up2","10849602",1986,213,14,0,4,2,4,74.1784037558685,70.4225352112676,0.469483568075117,37.0892018779343,28.169014084507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"90","up2","10849602",1995,460,16,1,2,2,4,60.4347826086956,54.3478260869565,0.434782608695652,25.4347826086956,44.1304347826087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"91","up6","10849602",1972,9,6,0,3,0,0,44.4444444444444,33.3333333333333,11.1111111111111,0,55.5555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,1,-1,NA
"92","up6","10849602",1986,40,5,0,1,1,0,87.5,80,0,30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,0,NA
"93","upper1","10849602",1972,0,0,0,0,0,0,0,NA,NA,NA,NA,26.7716544,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA
"94","upper3","10849602",1972,0,0,0,0,0,0,0,NA,NA,NA,NA,26.7716544,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA
"95","upper4","10849602",1972,47,7,1,0,1,1,89.3617021276596,89.3617021276596,0,42.5531914893617,10.6382978723404,26.7716544,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-5
"96","upper5","10849374",1972,13,5,0,0,1,1,61.5384615384615,61.5384615384615,0,53.8461538461538,38.4615384615385,9.823491,11.7881892,7.46585316,2.16116802,1.08058401,1.66999347,0.834996735,1.37528874,0.648350406,1.86646329,0.943055136,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,0,0,1,1,0,-1,1,-1
"97","upper5","10849374",1995,108,7,0,2,1,2,49.0740740740741,37.962962962963,0.925925925925926,12.962962962963,61.1111111111111,9.823491,11.7881892,7.46585316,2.16116802,1.08058401,1.66999347,0.834996735,1.37528874,0.648350406,1.86646329,0.943055136,39,75,31,72,62,15,3,1,47,1,-1,-1,1,0,1,1,1,0,-1,0,1
"98","upper6","10849378",1972,22,8,0,1,1,0,77.2727272727273,81.8181818181818,0,22.7272727272727,9.09090909090909,15.9776908,14,10,3,2,2.716207436,1.358103718,2,2,3.035761252,1.5338583168,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,1,1,-1,-1,0,-5
"99","ur-4","10849602",1986,42,10,0,3,1,0,80.952380952381,83.3333333333333,2.38095238095238,59.5238095238095,7.14285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,0,1,NA
"100","ur-4","10849602",1995,58,6,0,2,1,0,94.8275862068966,89.6551724137931,3.44827586206897,44.8275862068966,6.89655172413793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,1,0,NA
"101","wall1","10849464",1972,2,1,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,-1,-1,1,-1,-1,NA
"102","wall2","10849416",1972,114,3,0,1,0,0,98.2456140350877,98.2456140350877,0,0,1.75438596491228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"103","wall5","10849382",1986,25,5,0,1,1,0,96,88,0,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,0,NA
"104","wall5","10849382",1995,25,2,0,1,0,0,100,96,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"105","will2","10850148",1972,10,4,0,1,1,0,90,80,0,50,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,-1,1,NA
