"","FIELDID","COMID","DateSampled","TotalFish","Richness","DarterCount","SunfishCount","SuckerCount","IntolerantCount","Percent_Tolerant","Percent_Omnivores","Percent_Piscivores","Percent_Lithophilic","Percent_Insectivores","finalwidth_ft","Richness_upper","Richness_lower","Darter_upper","Darter_lower","Sunfish_upper","Sunfish_lower","Sucker_upper","Sucker_lower","Intolerant_upper","Intolerant_lower","Tolerant_upper","Tolerant_lower","Omnivore_upper","Omnivore_lower","Insectivore_upper","Insectivore_lower","Piscivore_upper","Piscivore_lower","Lithophilic_upper","Lithophilic_lower","Richness_score","Darter_score","Sunfish_score","Sucker_score","Intolerant_score","Tolerant_score","Omnivore_score","Insectivores_score","Piscivores_score","Lithophilic_score","Total_score"
"31","lower4","10849794",1972,58,6,0,0,0,0,27.5862068965517,27.5862068965517,0,0,3.44827586206897,43.6023636,14,10,3,2,3,2,2,2,4,2,39,75,31,72,62,15,3,1,47,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-10
"32","lr-11","10850162",1986,33,6,0,0,1,0,90.9090909090909,90.9090909090909,0,9.09090909090909,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,0,NA
"33","lr-11","10850162",1995,201,11,0,4,0,0,96.5174129353234,91.5422885572139,0.995024875621891,0,6.96517412935323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"34","lr-4","10849790",1972,17,6,0,1,1,1,94.1176470588235,94.1176470588235,5.88235294117647,23.5294117647059,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,1,0,NA
"35","main13","10848472",1972,14,4,0,2,0,0,71.4285714285714,71.4285714285714,0,0,14.2857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,-1,NA
"36","main18","10848472",1972,10,2,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,-1,-1,-1,-1,-1,NA
"37","main18","10848472",1986,265,13,0,5,1,2,52.8301886792453,50.9433962264151,13.5849056603774,9.0566037735849,6.41509433962264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,1,0,NA
"38","main18","10848472",1995,933,15,1,4,1,2,63.6655948553055,62.8081457663451,3.32261521972133,32.0471596998928,29.3676312968918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,0,1,0,NA
"39","main3","10848472",1972,15,6,0,5,1,0,26.6666666666667,13.3333333333333,6.66666666666667,13.3333333333333,73.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,-1,-1,1,1,0,NA
"40","main6","10849438",1972,22,4,0,0,1,0,90.9090909090909,90.9090909090909,0,63.6363636363636,9.09090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,75,31,72,62,15,3,1,47,1,NA,NA,NA,NA,NA,1,1,-1,-1,1,NA
"41","main7dnr","10848472",1972,18,6,0,5,1,0,16.6666666666667,16.6666666666667,5.55555555555556,16.6666666666667,33.3333333333333,19.3095238095238,14,10,3,2,3.28261904761905,1.64130952380952,2,2,3.66880952380952,1.85371428571428,39,75,31,72,62,15,3,1,47,1,-1,-1,1,-1,-1,-1,-1,0,1,0,-4
"42","md-10","10849718",1995,143,7,0,2,1,0,97.2027972027972,72.7272727272727,1.3986013986014,22.3776223776224,25.8741258741259,12,14,10,2.64,1.32,2.04,1.02,1.68,0.792,2.28,1.152,39,75,31,72,62,15,3,1,47,1,-1,-1,0,0,-1,1,1,0,0,0,-1
"43","md-13","10849426",1995,437,12,1,4,1,0,87.1853546910755,82.837528604119,6.63615560640732,29.7482837528604,8.23798627002288,7,8.4,5.32,1.54,0.77,1.19,0.595,0.98,0.462,1.33,0.672,39,75,31,72,62,15,3,1,47,1,1,0,1,1,-1,1,1,-1,1,0,4
"44","md-14","10849630",1995,413,15,2,4,1,4,52.5423728813559,35.8353510895884,0.968523002421308,12.8329297820823,62.227602905569,10,12,7.6,2.2,1.1,1.7,0.85,1.4,0.66,1.9,0.96,39,75,31,72,62,15,3,1,47,1,1,0,1,0,1,1,1,1,-1,0,5
