"","FIELDID","Orginal_FIELDID","COMID","StreamName","Branch","Year","DateSampled","MDEQ","Common_Name","FinalID","Quanity","Method","Length","Other"
"168","thorton12","thorton12","10849466","Thorton12","Middle",1972,"7/29/72","DNR","brown bullhead",NA,"1","Electroshocking","0","0"
"169","thorton12","thorton12","10849466","Thorton12","Middle",1972,"7/29/72","DNR","creek chub",NA,"5","Electroshocking","0","0"
"170","thorton12","thorton12","10849466","Thorton12","Middle",1972,"7/29/72","DNR","pumpkinseed",NA,"5","Electroshocking","0","0"
"171","thorton12","thorton12","10849466","Thorton12","Middle",1972,"7/29/72","DNR","white sucker",NA,"4","Electroshocking","0","0"
"172","tonquishcreek17","tonquishcreek17","10849668","TonquishCreek17","Middle",1972,"7/29/72","DNR","goldfish",NA,"2","Electroshocking","0","0"
"173","ton3","tonquishcreek18","10849700","TonquishCreek18","Middle",1972,"7/29/72","DNR","bluegill",NA,"1","Electroshocking","0","0"
"174","ton3","tonquishcreek18","10849700","TonquishCreek18","Middle",1972,"7/29/72","DNR","fathead minnow",NA,"2","Electroshocking","0","0"
"175","tonquishcreek19","tonquishcreek19","10849684","TonquishCreek19","Middle",1972,"7/29/72","DNR","green sunfish",NA,"1","Electroshocking","0","0"
"176","tonquishcreek20","tonquishcreek20","10850148","TonquishCreek20","Middle",1972,"7/29/72","DNR","fathead minnow",NA,"1","Electroshocking","0","0"
"177","tonquishcreek20","tonquishcreek20","10850148","TonquishCreek20","Middle",1972,"7/29/72","DNR","golden shiner",NA,"2","Electroshocking","0","0"
"178","tonquishcreek20","tonquishcreek20","10850148","TonquishCreek20","Middle",1972,"7/29/72","DNR","nfc",NA,"0","Electroshocking","0","0"
"179","wall1","tonquishcreek21","10849464","TonquishCreek21","Middle",1972,"7/29/72","DNR","brook stickleback",NA,"2","Electroshocking","0","0"
"180","upper1","upper1","10849602","Upper Rouge","Upper",1972,"6/24/72","DNR","nfc",NA,"0","Electroshocking","0","0"
"181","up6","upper2","10849602","Upper Rouge","Upper",1972,"6/24/72","DNR","fathead minnow",NA,"1","Electroshocking","0","0"
"182","up6","upper2","10849602","Upper Rouge","Upper",1972,"6/24/72","DNR","golden shiner",NA,"1","Electroshocking","0","0"
"183","up6","upper2","10849602","Upper Rouge","Upper",1972,"6/24/72","DNR","goldfish",NA,"1","Electroshocking","0","0"
"184","up6","upper2","10849602","Upper Rouge","Upper",1972,"6/24/72","DNR","green sunfish",NA,"1","Electroshocking","0","0"
"185","up6","upper2","10849602","Upper Rouge","Upper",1972,"6/24/72","DNR","largemouth bass",NA,"1","Electroshocking","0","0"
"186","up6","upper2","10849602","Upper Rouge","Upper",1972,"6/24/72","DNR","pumpkinseed",NA,"4","Electroshocking","0","0"
"187","upper3","upper3","10849602","Upper Rouge","Upper",1972,"6/24/72","DNR","nfc",NA,"0","Electroshocking","0","0"
"188","upper4","upper4","10849602","Upper Rouge","Upper",1972,"6/24/72","DNR","blacknose dace",NA,"3","Electroshocking","0","0"
"189","upper4","upper4","10849602","Upper Rouge","Upper",1972,"6/24/72","DNR","brown bullhead",NA,"1","Electroshocking","0","0"
"190","upper4","upper4","10849602","Upper Rouge","Upper",1972,"6/24/72","DNR","common shiner",NA,"3","Electroshocking","0","0"
"191","upper4","upper4","10849602","Upper Rouge","Upper",1972,"6/24/72","DNR","creek chub",NA,"24","Electroshocking","0","0"
"192","upper4","upper4","10849602","Upper Rouge","Upper",1972,"6/24/72","DNR","johnny darter",NA,"1","Electroshocking","0","0"
"193","upper4","upper4","10849602","Upper Rouge","Upper",1972,"6/24/72","DNR","redside dace",NA,"1","Electroshocking","0","0"
"194","upper4","upper4","10849602","Upper Rouge","Upper",1972,"6/24/72","DNR","white sucker",NA,"14","Electroshocking","0","0"
"195","upper5","upper5","10849374","Upper Rouge","Upper",1972,"6/24/72","DNR","blacknose dace",NA,"2","Electroshocking","0","0"
"196","upper5","upper5","10849374","Upper Rouge","Upper",1972,"6/24/72","DNR","common shiner",NA,"2","Electroshocking","0","0"
"197","upper5","upper5","10849374","Upper Rouge","Upper",1972,"6/24/72","DNR","creek chub",NA,"3","Electroshocking","0","0"
"198","upper5","upper5","10849374","Upper Rouge","Upper",1972,"6/24/72","DNR","mottled sculpin",NA,"3","Electroshocking","0","0"
"199","upper5","upper5","10849374","Upper Rouge","Upper",1972,"6/24/72","DNR","white sucker",NA,"3","Electroshocking","0","0"
"200","upper6","upper6","10849378","Upper Rouge","Upper",1972,"6/24/72","DNR","brown bullhead",NA,"1","Electroshocking","0","0"
"201","upper6","upper6","10849378","Upper Rouge","Upper",1972,"6/24/72","DNR","common carp",NA,"1","Electroshocking","0","0"
"202","upper6","upper6","10849378","Upper Rouge","Upper",1972,"6/24/72","DNR","central mudminnow",NA,"4","Electroshocking","0","0"
"203","upper6","upper6","10849378","Upper Rouge","Upper",1972,"6/24/72","DNR","central stoneroller",NA,"1","Electroshocking","0","0"
"204","upper6","upper6","10849378","Upper Rouge","Upper",1972,"6/24/72","DNR","creek chub",NA,"7","Electroshocking","0","0"
"205","upper6","upper6","10849378","Upper Rouge","Upper",1972,"6/24/72","DNR","northern redbelly dace",NA,"1","Electroshocking","0","0"
"206","upper6","upper6","10849378","Upper Rouge","Upper",1972,"6/24/72","DNR","pumpkinseed",NA,"2","Electroshocking","0","0"
"207","upper6","upper6","10849378","Upper Rouge","Upper",1972,"6/24/72","DNR","white sucker",NA,"5","Electroshocking","0","0"
"208","u-7","upper7","10849532","Upper Rouge","Upper",1972,"6/24/72","DNR","brook stickleback",NA,"1","Electroshocking","0","0"
"209","u-7","upper7","10849532","Upper Rouge","Upper",1972,"6/24/72","DNR","creek chub",NA,"14","Electroshocking","0","0"
