"","UpperRouge_Shocking","FellowsCreek_NA","MainRouge_NA","QuartonBranch_Shocking","BellBranch_Shocking","BellBranch_NA","BishopCreek_Shocking","BishopCreek_NA","EvansCreek_Shocking","EvansCreek_NA","FellowsCreek_Shocking","FowlerCreek_Shocking","FowlerCreek_NA","FranklinCreek_Shocking","FranklinCreek_NA","JohnsonCreek_Shocking","JohnsonCreek_NA","LowerRouge_Shocking","LowerRouge_NA","MainRouge_Shocking","MiddleRouge_Shocking","MinnowPond_Shocking","MinnowPond_NA","PebbleCreek_Shocking","PebbleCreek_NA","SeeleyCreek_Shocking","SeeleyCreek_NA","TarabusiCreek_Shocking","TarabusiCreek_NA","TonquishCreek_Shocking","TonquishCreek_NA","UpperRouge_NA","WalledLkDrainage_Shocking","WalledLkDrainage_NA","MiddleRouge_NA","QuartonBranch_NA","WillowCreek_Shocking","WillowCreek_NA"
"FowlerCreek_Shocking",57.1428571428571,66.6666666666667,56.4102564102564,44.4444444444444,53.8461538461538,64.2857142857143,56,53.8461538461538,50,56,68.75,100,88.8888888888889,40,34.7826086956522,48.6486486486487,51.4285714285714,71.1111111111111,60.4651162790698,70,71.7948717948718,50,51.6129032258064,43.4782608695652,40,62.0689655172414,62.5,53.8461538461538,64.2857142857143,57.1428571428571,68.75,48.4848484848485,50,53.8461538461538,57.1428571428571,51.8518518518519,53.8461538461538,41.6666666666667
"FowlerCreek_NA",51.4285714285714,66.6666666666667,61.5384615384615,37.037037037037,53.8461538461538,64.2857142857143,56,53.8461538461538,41.6666666666667,56,68.75,88.8888888888889,100,40,34.7826086956522,54.0540540540541,51.4285714285714,71.1111111111111,65.1162790697674,70,66.6666666666667,50,51.6129032258064,43.4782608695652,40,62.0689655172414,62.5,53.8461538461538,64.2857142857143,57.1428571428571,68.75,54.5454545454545,50,61.5384615384615,51.4285714285714,51.8518518518519,53.8461538461538,41.6666666666667
"FranklinCreek_Shocking",58.3333333333333,63.6363636363636,42.8571428571429,12.5,66.6666666666667,58.8235294117647,57.1428571428571,26.6666666666667,61.5384615384615,71.4285714285714,57.1428571428571,40,40,100,83.3333333333333,46.1538461538462,50,35.2941176470588,37.5,41.3793103448276,35.7142857142857,70.5882352941176,70,66.6666666666667,85.7142857142857,77.7777777777778,66.6666666666667,53.3333333333333,58.8235294117647,70.5882352941176,66.6666666666667,63.6363636363636,46.1538461538462,53.3333333333333,33.3333333333333,50,66.6666666666667,76.9230769230769
"FranklinCreek_NA",45.4545454545455,50,30.7692307692308,14.2857142857143,61.5384615384615,53.3333333333333,50,30.7692307692308,54.5454545454545,66.6666666666667,42.1052631578947,34.7826086956522,34.7826086956522,83.3333333333333,100,33.3333333333333,36.3636363636364,25,26.6666666666667,29.6296296296296,30.7692307692308,66.6666666666667,55.5555555555556,80,66.6666666666667,62.5,52.6315789473684,61.5384615384615,53.3333333333333,66.6666666666667,52.6315789473684,50,54.5454545454545,46.1538461538462,27.2727272727273,42.8571428571429,46.1538461538462,54.5454545454545
"JohnsonCreek_Shocking",61.1111111111111,64.7058823529412,55,35.7142857142857,44.4444444444444,55.1724137931034,53.8461538461538,51.8518518518519,32,46.1538461538462,48.4848484848485,48.6486486486487,54.0540540540541,46.1538461538462,33.3333333333333,100,77.7777777777778,52.1739130434783,54.5454545454545,58.5365853658537,55,55.1724137931034,62.5,33.3333333333333,46.1538461538462,66.6666666666667,72.7272727272727,44.4444444444444,55.1724137931034,48.2758620689655,60.6060606060606,70.5882352941176,48,59.2592592592593,50,50,51.8518518518519,40
"JohnsonCreek_NA",70.5882352941176,62.5,57.8947368421053,30.7692307692308,56,66.6666666666667,50,56,43.4782608695652,41.6666666666667,64.5161290322581,51.4285714285714,51.4285714285714,50,36.3636363636364,77.7777777777778,100,50,57.1428571428571,56.4102564102564,57.8947368421053,66.6666666666667,73.3333333333333,36.3636363636364,50,71.4285714285714,70.9677419354839,56,59.2592592592593,59.2592592592593,64.5161290322581,68.75,52.1739130434783,56,47.0588235294118,46.1538461538462,48,43.4782608695652
"LowerRouge_Shocking",50,57.1428571428571,62.5,44.4444444444444,45.7142857142857,54.0540540540541,41.1764705882353,40,30.3030303030303,41.1764705882353,58.5365853658537,71.1111111111111,71.1111111111111,35.2941176470588,25,52.1739130434783,50,100,76.9230769230769,69.3877551020408,70.8333333333333,48.6486486486487,50,31.25,35.2941176470588,52.6315789473684,53.6585365853659,45.7142857142857,54.0540540540541,48.6486486486487,58.5365853658537,57.1428571428571,36.3636363636364,40,59.0909090909091,50,45.7142857142857,36.3636363636364
"LowerRouge_NA",57.1428571428571,55,73.9130434782609,35.2941176470588,48.4848484848485,57.1428571428571,43.75,42.4242424242424,32.258064516129,43.75,61.5384615384615,60.4651162790698,65.1162790697674,37.5,26.6666666666667,54.5454545454545,57.1428571428571,76.9230769230769,100,68.0851063829787,65.2173913043478,51.4285714285714,52.6315789473684,33.3333333333333,37.5,55.5555555555556,56.4102564102564,48.4848484848485,57.1428571428571,45.7142857142857,56.4102564102564,60,38.7096774193548,42.4242424242424,47.6190476190476,52.9411764705882,48.4848484848485,38.7096774193548
"MainRouge_Shocking",61.5384615384615,64.8648648648649,83.7209302325581,45.1612903225806,53.3333333333333,62.5,48.2758620689655,40,42.8571428571429,48.2758620689655,77.7777777777778,70,70,41.3793103448276,29.6296296296296,58.5365853658537,56.4102564102564,69.3877551020408,68.0851063829787,100,74.4186046511628,56.25,57.1428571428571,37.037037037037,41.3793103448276,54.5454545454545,55.5555555555556,53.3333333333333,62.5,50,66.6666666666667,59.4594594594595,42.8571428571429,46.6666666666667,56.4102564102564,58.0645161290322,53.3333333333333,42.8571428571429
"MiddleRouge_Shocking",57.8947368421053,66.6666666666667,71.4285714285714,53.3333333333333,55.1724137931034,64.5161290322581,50,48.2758620689655,37.037037037037,50,62.8571428571429,71.7948717948718,66.6666666666667,35.7142857142857,30.7692307692308,55,57.8947368421053,70.8333333333333,65.2173913043478,74.4186046511628,100,51.6129032258064,52.9411764705882,38.4615384615385,35.7142857142857,50,57.1428571428571,55.1724137931034,64.5161290322581,58.0645161290322,62.8571428571429,55.5555555555556,44.4444444444444,41.3793103448276,84.2105263157895,60,48.2758620689655,37.037037037037
